[0, 0, '', 0.0, 'B', 1.0, 90, 90, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, '', 0.0, 0, 0, 0, 0, 0, 0, 0, 0]
[20, 0, '', 0.0, '', 0.5, 10, 10, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, 'B', 1.0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, '', 0.0, 100, 100, 0, 0, 0, 0, 0, 0]
[20, 0, '', 0.0, '', 0.5, 200, 200, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, 'B', 1.0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, '', 0.0, 2000, 2000, 0, 0, 0, 0, 0, 0]
[20, 0, '', 0.0, '', 0.5, 4000, 4000, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, 'B', 1.0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, '', 0.0, 40000, 2570, 0, 0, 0, 0, 0, 0]
[20, 0, '', 0.0, '', 0.5, 80000, 5000, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, 'B', 1.0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, '', 0.0, 50000, 2482, 0, 0, 0, 0, 0, 0]
[20, 0, '', 0.0, '', 0.5, 100000, 5000, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, 'B', 1.0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, '', 0.0, 50000, 2527, 0, 0, 0, 0, 0, 0]
[20, 0, '', 0.0, '', 0.5, 100000, 5000, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, 'B', 1.0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, '', 0.0, 50000, 2471, 0, 0, 0, 0, 0, 0]
[20, 0, '', 0.0, '', 0.5, 100000, 5000, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, 'B', 1.0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, '', 0.0, 50000, 2545, 0, 0, 0, 0, 0, 0]
[20, 0, '', 0.0, '', 0.5, 100000, 5000, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, 'B', 1.0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, '', 0.0, 50000, 2500, 0, 0, 0, 0, 0, 0]
[20, 0, '', 0.0, '', 0.5, 100000, 5000, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, 'B', 1.0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, '', 0.0, '', 0.0, 50000, 2443, 0, 0, 0, 0, 0, 0]
[20, 0, '', 0.0, '', 0.5, 100000, 5000, 0, 0, 0, 0, 0, 0]
